Designator,Mid X,Mid Y,Rotation,Layer
mouse-bite-2mm-slot_38,40.604484,-172.130001,150.0,top
mouse-bite-2mm-slot_37,201.69532,-132.181554,330.0,top
mouse-bite-2mm-slot_36,63.621937,-52.578975,150.0,top
mouse-bite-2mm-slot_35,201.704486,-172.020002,210.0,top
mouse-bite-2mm-slot_34,40.623765,-92.426274,150.0,top
mouse-bite-2mm-slot_33,40.609351,-132.291299,210.0,top
mouse-bite-2mm-slot_32,109.647914,-132.238313,150.0,top
mouse-bite-2mm-slot_31,213.125002,-152.060001,270.0,top
mouse-bite-2mm-slot_30,109.724484,-211.880001,150.0,top
mouse-bite-2mm-slot_29,75.149302,-152.165619,90.0,top
mouse-bite-2mm-slot_28,155.694486,-12.709998,30.0,top
mouse-bite-2mm-slot_27,167.148267,-72.480682,270.0,top
mouse-bite-2mm-slot_26,63.624486,-12.739999,30.0,top
mouse-bite-2mm-slot_25,75.122374,-72.498975,270.0,top
mouse-bite-2mm-slot_24,52.194999,-32.51,90.0,top
mouse-bite-2mm-slot_23,17.594484,-132.300001,150.0,top
mouse-bite-2mm-slot_22,144.227421,-191.95364,270.0,top
mouse-bite-2mm-slot_21,224.715513,-132.150002,210.0,top
mouse-bite-2mm-slot_20,52.140644,-112.333447,90.0,top
mouse-bite-2mm-slot_19,144.139606,-32.648515,270.0,top
mouse-bite-2mm-slot_18,132.646083,-92.391011,330.0,top
mouse-bite-2mm-slot_17,86.649994,-132.244744,210.0,top
mouse-bite-2mm-slot_16,63.64133,-92.412562,30.0,top
mouse-bite-2mm-slot_15,109.624486,-12.739998,30.0,top
mouse-bite-2mm-slot_14,178.724486,-211.920002,210.0,top
mouse-bite-2mm-slot_13,155.663402,-132.218174,330.0,top
mouse-bite-2mm-slot_12,98.120552,-32.651666,270.0,top
mouse-bite-2mm-slot_11,201.743867,-92.357797,210.0,top
mouse-bite-2mm-slot_10,63.674484,-211.920001,150.0,top
mouse-bite-2mm-slot_9,155.673423,-172.056827,210.0,top
mouse-bite-2mm-slot_8,109.667307,-172.071902,30.0,top
mouse-bite-2mm-slot_7,213.175002,-72.420001,270.0,top
mouse-bite-2mm-slot_6,178.734487,-12.68,330.0,top
mouse-bite-2mm-slot_5,109.638778,-92.402495,30.0,top
mouse-bite-2mm-slot_4,132.644487,-12.73,330.0,top
mouse-bite-2mm-slot_3,17.592049,-92.460577,30.0,top
mouse-bite-2mm-slot_2,98.228363,-191.960958,90.0,top
mouse-bite-2mm-slot,132.744486,-211.870002,210.0,top
